"title","publication_date","source","country","summary","url","language"
"'It missed us by inches': Witnesses describe car driving into crowds at Liverpool FC parade","Mon, 26 May 2025 20:37:55 GMT","BBC News","United Kingdom","Witnesses describe the ""horrendous"" moment a car ""rammed"" into crowds in the city centre.","https://www.bbc.com/news/articles/cy0jvepd1p2o","en"
"Kremlin calls Trump 'emotional' after US president says Putin is 'crazy'","Mon, 26 May 2025 18:14:49 GMT","BBC News","United Kingdom","Trump said that Vladimir Putin had gone ""absolutely crazy"" following massive aerial attacks on Ukraine.","https://www.bbc.com/news/articles/c4g2wz74jdzo","en"
"Israeli strike kills dozens sheltering in Gaza school, officials say","Mon, 26 May 2025 16:38:46 GMT","BBC News","United Kingdom","Children are among those who died in the attack, which Israel says targeted a Hamas command centre.","https://www.bbc.com/news/articles/cz9yjj54v3xo","en"
"In pictures: King Charles and Queen Camilla welcomed in Ottawa","Mon, 26 May 2025 20:43:34 GMT","BBC News","United Kingdom","Monday was the first of a packed two-day visit meant to highlight Canada's sovereignty and its ties to the Crown.","https://www.bbc.com/news/articles/cm23dg2eye0o","en"
"Watch: Push in the face by wife was joke not domestic dispute, says Macron","Mon, 26 May 2025 11:41:52 GMT","BBC News","United Kingdom","Footage shows the moment Emmanuel Macron is shoved in the face by his wife Brigitte as they touch down in Hanoi, Vietnam.","https://www.bbc.com/news/videos/c201e8g0yg3o","en"
"Rushdie 'pleased' with attacker's maximum sentence","Mon, 26 May 2025 09:36:36 GMT","BBC News","United Kingdom","Author Sir Salman Rushdie says he hopes the man who stabbed him ""reflects upon his deeds"" in jail.","https://www.bbc.com/news/articles/c5y2kg77drzo","en"
"The people who think AI might become conscious","Mon, 26 May 2025 00:38:27 GMT","BBC News","United Kingdom","With a leap in the evolution of large language models, some leading thinkers are questioning whether AI might become sentient","https://www.bbc.com/news/articles/c0k3700zljjo","en"
"YouTuber 'risks his life' for cheese-rolling win","Mon, 26 May 2025 15:21:49 GMT","BBC News","United Kingdom","Tom Kopke is among the winners at the annual event down Cooper's Hill in Gloucestershire.","https://www.bbc.com/news/articles/czj4vw0m3lzo","en"
"Fake discounts on Shein 'breach law', EU says","Mon, 26 May 2025 16:35:06 GMT","BBC News","United Kingdom","Shein has one month to respond to the EU's findings or face fines based on its sales, the bloc has said.","https://www.bbc.com/news/articles/c62vq1mnndno","en"
"Sick Raducanu 'really proud' of battling Paris win","Mon, 26 May 2025 15:34:32 GMT","BBC News","United Kingdom","Emma Raducanu battles through illness to win on her French Open return and set up a second-round meeting with defending champion Iga Swiatek.","https://www.bbc.com/sport/tennis/articles/c4g2vxyx2edo","en"
"Japan flight made emergency landing after man tried opening door","Mon, 26 May 2025 09:19:31 GMT","BBC News","United Kingdom","Police said the man was ""having a medical crisis"" and was restrained by fellow passengers and crew.","https://www.bbc.com/news/articles/cgmjzlj0g30o","en"
"Swinney accuses Reform of racism over Sarwar advert","Mon, 26 May 2025 16:39:45 GMT","BBC News","United Kingdom","The first minister has urged Facebook's parent company Meta to remove the ""unacceptable"" video.","https://www.bbc.com/news/articles/cx2j7rv2zvdo","en"
"'Situation is dire' - BBC returns to Gaza baby left hungry by Israeli blockade","Sun, 25 May 2025 21:02:12 GMT","BBC News","United Kingdom","Malnourished five-month-old baby Siwar is now out of hospital in Gaza - but as we found, she and her family are struggling.","https://www.bbc.com/news/articles/c5y2kd1nkleo","en"
"A self-created fairy story: The rise and fall of Michelle Mone","Mon, 26 May 2025 09:52:25 GMT","BBC News","United Kingdom","A new documentary follows the bra firm founder's journey from poverty to fame, fortune and controversy.","https://www.bbc.com/news/articles/cwyvqqr51pno","en"
"'We didn't see it as treason', say Russian couple who became informants for Ukraine","Sun, 25 May 2025 23:04:21 GMT","BBC News","United Kingdom","A Russian couple living in Ukraine were so appalled by the invasion, they shared information about Russian forces in their town with Kyiv.","https://www.bbc.com/news/articles/clyqq18evyko","en"
"Who were 'superb'? Who were a 'shambles'? BBC Sport reviews the Premier League season","Mon, 26 May 2025 11:04:09 GMT","BBC News","United Kingdom","BBC Sport chief football writer Phil McNulty reviews the Premier League season - and looks back to his August predictions.","https://www.bbc.com/sport/football/articles/cg71de2edkgo","en"
"Five takeaways from Radio 1's Big Weekend","Sun, 25 May 2025 23:53:31 GMT","BBC News","United Kingdom","Artists and festivalgoers give their takes on the big talking points from Radio 1’s Big Weekend in Liverpool.","https://www.bbc.com/news/articles/c98pe5x456po","en"
"Head of controversial Israel-backed Gaza aid group resigns","Mon, 26 May 2025 11:55:30 GMT","BBC News","United Kingdom","The UN has said the Gaza Humanitarian Foundation's plan would make ""starvation a bargaining chip"".","https://www.bbc.com/news/articles/c1e6d97x99qo","en"
"Russia denies involvement in fires at homes linked to Starmer","Mon, 26 May 2025 11:57:30 GMT","BBC News","United Kingdom","A Kremlin spokesman says reports that MI5 are probing a potential link are ""ludicrous"".","https://www.bbc.com/news/articles/c79evj9ed9lo","en"
"North Korea arrests senior official over warship launch failure","Mon, 26 May 2025 07:02:40 GMT","BBC News","United Kingdom","The Workers' Party official was ""largely responsible"" for the botched launch, state media said.","https://www.bbc.com/news/articles/cwy3rr307qyo","en"
"HS2 investigating two firms supplying construction staff","Mon, 26 May 2025 01:18:05 GMT","BBC News","United Kingdom","The company building the high-speed rail line says it takes all whistleblower allegations seriously.","https://www.bbc.com/news/articles/c3rpv4lj2g3o","en"
"Men return home after 100 days in Guinea prison","Mon, 26 May 2025 11:53:36 GMT","BBC News","United Kingdom","Paul Inch, 50, and a colleague were accused of spying and detained in the West African prison.","https://www.bbc.com/news/articles/cy0jvj84dgjo","en"
"BBC News app","Wed, 30 Apr 2025 14:04:28 GMT","BBC News","United Kingdom","Top stories, breaking news, live reporting, and follow news topics that match your interests","https://www.bbc.co.uk/news/10628994","en"
"Why did Trump ambush the South African president?","Thu, 22 May 2025 17:26:00 GMT","BBC News","United Kingdom","Cyril Ramaphosa kept his cool despite the onslaught","https://www.bbc.co.uk/sounds/play/m002cf4v","en"
"Newscast","Mon, 26 May 2025 11:37:00 GMT","BBC News","United Kingdom","Live from Hay Festival with Marcus Brigstocke, Anne Applebaum and David Spiegelhalter.","https://www.bbc.co.uk/sounds/play/p0ldk427","en"
"'Poor' decision by PGMOL to pick Bramall for Villa game - Hackett","Mon, 26 May 2025 19:42:45 GMT","BBC News","United Kingdom","The referees' body made a ""poor management decision"" in appointing Thomas Bramall to officiate Aston Villa's defeat by Manchester united, says former referees' boss Keith Hackett.","https://www.bbc.com/sport/football/articles/cgle170wgp6o","en"
"England withstand Matthews brilliance to claim T20 clean sweep","Mon, 26 May 2025 17:34:50 GMT","BBC News","United Kingdom","England withstand all-rounder Hayley Matthews' brilliance to win the third and final T20 by 17 runs and complete a dominant series clean sweep in Charlotte Edwards and Nat Sciver-Brunt's first series in charge.","https://www.bbc.com/sport/cricket/articles/cy8d523nz90o","en"
"Man Utd close to signing Wolves' Cunha","Mon, 26 May 2025 13:48:03 GMT","BBC News","United Kingdom","Matheus Cunha's transfer to Manchester United is at an advanced stage as the Wolves forward nears a £62.5m move to Old Trafford.","https://www.bbc.com/sport/football/articles/cjwq7gdp9gwo","en"
"Sick Raducanu 'really proud' of battling first-round win","Mon, 26 May 2025 15:34:32 GMT","BBC News","United Kingdom","Emma Raducanu battles through illness to win on her French Open return and set up a second-round meeting with defending champion Iga Swiatek.","https://www.bbc.com/sport/tennis/articles/c4g2vxyx2edo","en"
"Nearly extinct ‘forgotten antelope’ photographed for first time in DRC","Mon, 26 May 2025 16:00:02 GMT","The Guardian","United Kingdom","Upemba lechwe considered one of world’s rarest large mammals with fewer than 100 thought to remainA photograph of Africa’s “forgotten antelope” has been published for the first time as the elusive creature dives towards extinction.Fewer than 100 Upemba lechwe are thought to remain, with an aerial survey in the Kamalondo depression of the southern Democratic Republic of the Congo having recorded 10 individuals. Continue reading...","https://www.theguardian.com/environment/2025/may/26/antelope-photo-upemba-lechwe","en"
"Malawi battles mpox as cases of the infectious disease surge in Africa","Mon, 26 May 2025 09:00:52 GMT","The Guardian","United Kingdom","Medicine shortages plus limited testing and hospital capacity exacerbated by withdrawal of USAID as outbreak gathers pace across countries in the regionMalawi’s ministry of health has announced three new cases of mpox in the capital, Lilongwe, bringing the number of confirmed cases to 11 since the country’s first was reported in April.Malawi is one of 16 countries in Africa reporting mpox outbreaks as health officials battle with vaccine shortages as well as limited testing and hospital capac...","https://www.theguardian.com/global-development/2025/may/26/malawi-battles-mpox-as-cases-of-the-infectious-disease-surge-in-africa","en"
"Court halts Trump administration’s effort to send eight men to South Sudan","Fri, 23 May 2025 16:11:24 GMT","The Guardian","United Kingdom","The group is in temporary custody of homeland security in Djibouti following challenges in court US politics live – latest updatesEight men the Trump administration attempted to send to South Sudan are in temporary custody in Djibouti after a federal court ruling halted their removal, officials confirmed on Thursday.The Trump administration had attempted to send the men, who it said had been convicted of criminal offenses, to their home countries: officials said two each were from Myanmar and...","https://www.theguardian.com/us-news/2025/may/23/trump-south-sudan-deportations-halted-judge","en"
"Trump’s ‘white genocide’ claims ignore the reality of life and crime in South Africa","Wed, 21 May 2025 20:44:12 GMT","The Guardian","United Kingdom","US president intoned ‘death, death, death’ as he waved articles purporting to show violence against white minority It was an ambush crafted straight from a reality-TV playbook. The Oval Office meeting with South Africa’s president, Cyril Ramaphosa, started with exchanges of pleasantries, before Donald Trump said “turn the lights down” and a video was played to support his false claims that white South African farmers are being murdered for their race.Ramaphosa came prepared with champion whit...","https://www.theguardian.com/us-news/2025/may/21/trump-south-african-president-meeting","en"
"Judge rules White House violated order by deporting migrants to South Sudan","Wed, 21 May 2025 17:40:33 GMT","The Guardian","United Kingdom","Eight people apparently deported as their lawyers say they are at ‘risk of harm’ and that there is ‘no clarity’A federal judge has ruled the US government’s attempt to deport migrants to South Sudan “unquestionably” violated an earlier court order.Brian E Murphy, the US district judge in Massachusetts, made the remark at an emergency hearing he had ordered in Boston following the Trump administration’s apparent removal of eight people to South Sudan, despite most of them being from other coun...","https://www.theguardian.com/us-news/2025/may/21/trump-deportations-south-sudan","en"
"Crown questions to fore as king visits Canada amid tensions with Trump","Mon, 26 May 2025 09:00:54 GMT","The Guardian","United Kingdom","Charles to open parliament in show of support at a crucial time – but that has not quieted a chorus of critical voices The decision by King Charles to formally open Canada’s parliament on Tuesday reflects his role as a “steadfast defender” of the country amid threats to its sovereignty, says prime minister Mark Carney.But Indigenous leaders say the rare visit is also a reminder that Canada’s founding relationship between the monarchy and the country’s first peoples cannot ever be “forgotten o...","https://www.theguardian.com/world/2025/may/26/king-charles-canada-trump-visit","en"
"Trump administration trying to dismiss MS-13 leader’s charges to deport him","Fri, 23 May 2025 22:15:57 GMT","The Guardian","United Kingdom","Exclusive: Critics and defendant’s legal team accuse US president of trying to do favor for Salvadorian leaderDonald Trump’s administration is attempting to dismiss criminal charges against a top MS-13 leader in order to deport him to El Salvador, according to newly unsealed court records – igniting accusations from critics and the defendant’s legal team that the US president is trying to do a favor for his Salvadorian counterpart, who struck a deal with the gang in 2019.According to justice ...","https://www.theguardian.com/us-news/2025/may/23/trump-administration-ms-13-leaders-criminal-charges-deportation","en"
"Russian-led cybercrime network dismantled in global operation","Fri, 23 May 2025 16:33:28 GMT","The Guardian","United Kingdom","Arrest warrants issued for ringleaders after investigation by police in Europe and North AmericaEuropean and North American cybercrime investigators say they have dismantled the heart of a malware operation directed by Russian criminals after a global operation involving British, Canadian, Danish, Dutch, French, German and US police.International arrest warrants have been issued for 20 suspects, most of them living in Russia, by European investigators while indictments were unsealed in the US...","https://www.theguardian.com/technology/2025/may/23/russian-led-cybercrime-network-dismantled-in-global-operation","en"
"Sebastião Salgado, photographer known for Amazon rainforest images, dies aged 81","Fri, 23 May 2025 15:45:57 GMT","The Guardian","United Kingdom","Brazilian photographer’s work highlighted injustice and introduced rainforest to the world‘I photographed the world’: the career of Sebastião Salgado – in picturesThe Brazilian photographer Sebastião Salgado, who is best known for his dramatic black-and-white photographs that highlighted injustice and introduced the Amazon rainforest the world, has died. He was 81.His death was confirmed by the Instituto Terra, the environmental restoration non-profit he founded with his wife of six decades, ...","https://www.theguardian.com/world/2025/may/23/brazil-sebastiao-salgado-death","en"
"Brazilian tribe sues New York Times for allegedly portraying members as porn addicts","Fri, 23 May 2025 15:33:22 GMT","The Guardian","United Kingdom","Defamation suit claims Marubo people were depicted as tech-addled and porn-obsessed after introduction of internetAn Indigenous tribe from the Brazilian Amazon has sued the New York Times, saying the newspaper’s reporting on the tribe’s first exposure to the internet led to its members being widely portrayed as technology-addled and addicted to pornography.The Marubo tribe of the remote Javari valley, a community of about 2,000 people, filed the defamation lawsuit seeking hundreds of millions...","https://www.theguardian.com/world/2025/may/23/brazil-tribe-new-york-times-pornography-lawsuit","en"
"Emmanuel Macron says video of wife pushing him shows them ‘joking around’","Mon, 26 May 2025 16:24:58 GMT","The Guardian","United Kingdom","French president denies quarrelling with Brigitte Macron after footage is seized on by Russia and far-right accountsEmmanuel Macron has denied he and his wife, Brigitte, had an altercation after a viral video promoted by Russian state media and French far-right accounts appeared to show her pushing him in the face as they prepared to get off a plane in Vietnam.The video, shot by an Associated Press camera operator, shows the French president appearing in the doorway of the plane at the start ...","https://www.theguardian.com/world/2025/may/26/macron-says-video-of-wife-brigitte-pushing-him-in-face-does-not-show-them-quarrelling","en"
"Holiday bookings to Japan are down - could a 90s manga comic’s earthquake prediction be to blame?","Mon, 26 May 2025 05:46:17 GMT","The Guardian","United Kingdom","The Future I Saw, a Japanese graphic novel by Ryo Tatsuki, declared a major disaster would occur on 5 July 2025A grim prediction made in a manga first published a quarter of a century ago is being blamed for a dramatic fall in holiday bookings to Japan from several Asian countries.Flight reservations to Japan from some of its key tourism markets have reportedly plummeted, with some linking the fall to The Future I Saw, a Japanese graphic novel based on the “prophetic” dreams of its author, Ry...","https://www.theguardian.com/world/2025/may/26/japanese-manga-earthquake-prediction-travel-bookings-japan","en"
